# laser_deposition ray paths
# step 0 time 6.91752681e-17 ray_stride 16 ray_step_stride 40
# one row per recorded point; rows are grouped by ray and ordered along the march
# P [W] is the power still carried; ne [m^-3] is at the point; turned = 1 on the step the near-critical specular branch fired
# iray istep x z P ne turned
0 2760 -2.67725273e-05 1.26509618e-04 1.64120452e-16 0.00000000e+00 0
0 2800 -2.67725273e-05 1.25671668e-04 1.64120452e-16 0.00000000e+00 0
0 2840 -2.67725273e-05 1.24833717e-04 1.64120452e-16 0.00000000e+00 0
0 2880 -2.67725273e-05 1.23995766e-04 1.64120452e-16 0.00000000e+00 0
0 2920 -2.67725273e-05 1.23157815e-04 1.64120452e-16 0.00000000e+00 0
0 2960 -2.67725273e-05 1.22319864e-04 1.64120452e-16 0.00000000e+00 0
0 3000 -2.67725273e-05 1.21481914e-04 1.64120452e-16 0.00000000e+00 0
0 3040 -2.67725273e-05 1.20643963e-04 1.64120452e-16 0.00000000e+00 0
0 3080 -2.67725273e-05 1.19806012e-04 1.64120452e-16 0.00000000e+00 0
0 3120 -2.67725273e-05 1.18968061e-04 1.64120452e-16 0.00000000e+00 0
0 3160 -2.67725273e-05 1.18130111e-04 1.64120452e-16 0.00000000e+00 0
0 3200 -2.67725273e-05 1.17292160e-04 1.64120452e-16 0.00000000e+00 0
0 3240 -2.67725273e-05 1.16454209e-04 1.64120452e-16 0.00000000e+00 0
0 3280 -2.67725273e-05 1.15616258e-04 1.64120452e-16 0.00000000e+00 0
0 3320 -2.67725273e-05 1.14778307e-04 1.64120452e-16 0.00000000e+00 0
0 3360 -2.67725273e-05 1.13940357e-04 1.64120452e-16 0.00000000e+00 0
0 3400 -2.67725273e-05 1.13102406e-04 1.64120452e-16 0.00000000e+00 0
0 3440 -2.67725273e-05 1.12264455e-04 1.64120452e-16 0.00000000e+00 0
0 3480 -2.67725273e-05 1.11426504e-04 1.64120452e-16 0.00000000e+00 0
0 3520 -2.67725273e-05 1.10588554e-04 1.64120452e-16 0.00000000e+00 0
0 3560 -2.67725273e-05 1.09750603e-04 1.64120452e-16 0.00000000e+00 0
0 3600 -2.67725273e-05 1.08912652e-04 1.64120452e-16 0.00000000e+00 0
0 3640 -2.67725273e-05 1.08074701e-04 1.64120452e-16 0.00000000e+00 0
0 3680 -2.67725273e-05 1.07236750e-04 1.64120452e-16 0.00000000e+00 0
0 3720 -2.67725273e-05 1.06398800e-04 1.64120452e-16 0.00000000e+00 0
0 3760 -2.67725273e-05 1.05560849e-04 1.64120452e-16 0.00000000e+00 0
0 3800 -2.67725273e-05 1.04722898e-04 1.64120452e-16 0.00000000e+00 0
0 3840 -2.67725273e-05 1.03884947e-04 1.64120452e-16 0.00000000e+00 0
