# refraction=1, step 0, on-axis |x|<5 d_e
# z/d_e   P_abs [W/m^3]   n_e/n_cr
-1.4375000e+02  0.0000000e+00  1.4998984e+00
-1.4325000e+02  0.0000000e+00  1.4997492e+00
-1.4275000e+02  0.0000000e+00  1.4997773e+00
-1.4225000e+02  0.0000000e+00  1.5000859e+00
-1.4175000e+02  0.0000000e+00  1.4998522e+00
-1.4125000e+02  0.0000000e+00  1.4994839e+00
-1.4075000e+02  0.0000000e+00  1.4995333e+00
-1.4025000e+02  0.0000000e+00  1.5000965e+00
-1.3975000e+02  0.0000000e+00  1.4997084e+00
-1.3925000e+02  0.0000000e+00  1.4997731e+00
-1.3875000e+02  0.0000000e+00  1.4999203e+00
-1.3825000e+02  0.0000000e+00  1.4996801e+00
-1.3775000e+02  0.0000000e+00  1.4995548e+00
-1.3725000e+02  0.0000000e+00  1.5000467e+00
-1.3675000e+02  0.0000000e+00  1.4996145e+00
-1.3625000e+02  0.0000000e+00  1.4998651e+00
-1.3575000e+02  0.0000000e+00  1.5000404e+00
-1.3525000e+02  0.0000000e+00  1.4998160e+00
-1.3475000e+02  0.0000000e+00  1.4993124e+00
-1.3425000e+02  0.0000000e+00  1.4998740e+00
-1.3375000e+02  0.0000000e+00  1.4999813e+00
-1.3325000e+02  0.0000000e+00  1.4996229e+00
-1.3275000e+02  0.0000000e+00  1.4998885e+00
-1.3225000e+02  0.0000000e+00  1.4997816e+00
-1.3175000e+02  0.0000000e+00  1.4997254e+00
-1.3125000e+02  0.0000000e+00  1.4996917e+00
-1.3075000e+02  0.0000000e+00  1.4999385e+00
-1.3025000e+02  0.0000000e+00  1.4995137e+00
-1.2975000e+02  0.0000000e+00  1.4999139e+00
-1.2925000e+02  0.0000000e+00  1.4995953e+00
-1.2875000e+02  0.0000000e+00  1.5000629e+00
-1.2825000e+02  0.0000000e+00  1.4996296e+00
-1.2775000e+02  0.0000000e+00  1.4997822e+00
-1.2725000e+02  0.0000000e+00  1.4998534e+00
-1.2675000e+02  0.0000000e+00  1.4997165e+00
-1.2625000e+02  0.0000000e+00  1.4997464e+00
-1.2575000e+02  0.0000000e+00  1.4995206e+00
-1.2525000e+02  0.0000000e+00  1.4998020e+00
-1.2475000e+02  0.0000000e+00  1.5001253e+00
-1.2425000e+02  0.0000000e+00  1.4992504e+00
-1.2375000e+02  0.0000000e+00  1.5000359e+00
-1.2325000e+02  0.0000000e+00  1.4999469e+00
-1.2275000e+02  0.0000000e+00  1.4995253e+00
-1.2225000e+02  0.0000000e+00  1.4999120e+00
-1.2175000e+02  0.0000000e+00  1.4997710e+00
-1.2125000e+02  0.0000000e+00  1.4995849e+00
-1.2075000e+02  0.0000000e+00  1.5000324e+00
-1.2025000e+02  0.0000000e+00  1.4998781e+00
-1.1975000e+02  0.0000000e+00  1.4995562e+00
-1.1925000e+02  0.0000000e+00  1.4999852e+00
-1.1875000e+02  0.0000000e+00  1.4994157e+00
-1.1825000e+02  0.0000000e+00  1.4998725e+00
-1.1775000e+02  0.0000000e+00  1.4998670e+00
-1.1725000e+02  0.0000000e+00  1.4999925e+00
-1.1675000e+02  0.0000000e+00  1.4994546e+00
-1.1625000e+02  0.0000000e+00  1.4997426e+00
-1.1575000e+02  0.0000000e+00  1.5000038e+00
-1.1525000e+02  0.0000000e+00  1.4997777e+00
