# x/d_e   z_crit(t=0)/d_e   z_crit(t_end)/d_e
   -66.75000     37.75000     46.75000
   -66.25000     37.75000     48.25000
   -65.75000     37.75000     46.75000
   -65.25000     37.75000     45.25000
   -64.75000     37.75000     45.75000
   -64.25000     37.75000     48.75000
   -63.75000     37.75000     48.75000
   -63.25000     37.75000     47.75000
   -62.75000     37.75000     47.75000
   -62.25000     37.75000     47.75000
   -61.75000     37.75000     48.75000
   -61.25000     37.75000     45.75000
   -60.75000     38.25000     46.25000
   -60.25000     37.75000     42.25000
   -59.75000     38.25000     48.75000
   -59.25000     37.75000     44.25000
   -58.75000     37.75000     44.25000
   -58.25000     37.75000     42.75000
   -57.75000     37.75000     48.25000
   -57.25000     37.75000     45.25000
   -56.75000     37.75000     45.75000
   -56.25000     37.75000     48.25000
   -55.75000     37.75000     47.25000
   -55.25000     37.75000     41.25000
   -54.75000     37.75000     46.25000
   -54.25000     37.75000     42.25000
   -53.75000     37.75000     40.25000
   -53.25000     37.75000     44.75000
   -52.75000     37.75000     41.75000
   -52.25000     37.75000     37.75000
   -51.75000     37.75000     38.75000
   -51.25000     37.75000     37.25000
   -50.75000     38.25000     36.75000
   -50.25000     37.75000     39.25000
   -49.75000     37.75000     37.75000
   -49.25000     37.75000     36.25000
   -48.75000     37.75000     37.25000
   -48.25000     37.75000     36.75000
   -47.75000     37.75000     37.75000
   -47.25000     37.75000     36.75000
   -46.75000     37.75000     36.75000
   -46.25000     37.75000     33.25000
   -45.75000     37.75000     33.25000
   -45.25000     37.75000     32.25000
   -44.75000     37.75000     32.75000
   -44.25000     37.75000     31.75000
   -43.75000     37.75000     31.75000
   -43.25000     37.75000     33.25000
   -42.75000     38.25000     33.75000
   -42.25000     37.75000     31.25000
   -41.75000     37.75000     28.25000
   -41.25000     37.75000     31.25000
   -40.75000     37.75000     25.75000
   -40.25000     37.75000     28.75000
   -39.75000     37.75000     28.75000
   -39.25000     37.75000     25.75000
   -38.75000     37.75000     26.75000
   -38.25000     38.25000     26.75000
   -37.75000     37.75000     25.25000
   -37.25000     37.75000     25.75000
   -36.75000     37.75000     25.25000
   -36.25000     37.75000     23.75000
   -35.75000     37.75000     24.25000
   -35.25000     37.75000     26.75000
   -34.75000     37.75000     21.25000
   -34.25000     37.75000     21.25000
   -33.75000     37.75000     24.25000
   -33.25000     37.75000     23.75000
   -32.75000     37.75000     20.25000
   -32.25000     37.75000     19.75000
   -31.75000     38.25000     22.75000
   -31.25000     37.75000     20.25000
   -30.75000     37.75000     19.75000
   -30.25000     38.25000     21.25000
   -29.75000     37.75000     17.75000
   -29.25000     37.75000     17.75000
   -28.75000     37.75000     18.75000
   -28.25000     37.75000     20.25000
   -27.75000     37.75000     16.75000
